TransactionAmount,PreviousTransactionDate,TransactionType,Location,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Amount_bin,Target
-0.9763205656365878,-0.7723243792401878,0.5414385128843381,1.1990320582001825,-0.6569995872678819,-1.2131985919529937,1.423196390000514,-1.3234577541435377,-0.552642221900115,-0.20336697570787826,0.004753083919352834,0,2
0.2686329609123441,-0.05841108750556042,0.5414385128843381,-0.508294849076001,-1.2720408343918228,-1.2131985919529937,1.311032333424246,-1.3234577541435377,0.2942607775305022,-0.20336697570787826,2.2112400192766364,3,1
-0.5906135777067515,0.04867590625463369,0.5414385128843381,0.1421154013149261,0.2625766462960684,1.2654415935203476,-1.4369870526943178,1.3180962861460725,-0.9055184716628722,-0.20336697570787826,-1.0133895559206567,1,0
-0.39050659225759154,-0.5759982240131652,0.5414385128843381,0.9551282143035849,0.017754402295276445,1.2654415935203476,-1.04441285467738,1.3180962861460725,-1.3430850213686911,-0.20336697570787826,0.8868808739999413,1,0
-0.7079757574565252,-0.8388481177881871,0.5414385128843381,0.5486218078092555,-1.4034088677581014,-1.2131985919529937,-1.4930690809824516,1.3180962861460725,0.7318273272363212,-0.20336697570787826,-1.1003225944519075,1,0
1.7802468355336234,-0.8664311313324796,0.5414385128843381,0.38601924521152375,0.5611403584921562,-1.2131985919529937,0.5819659656785047,-1.3234577541435377,-0.002155272270213815,-0.20336697570787826,-1.0390277464899313,3,1
-0.371530633493129,-1.4034886303419378,0.5414385128843381,0.060814120016060215,-1.4272939647337883,1.2654415935203476,-1.3248229961180498,1.3180962861460725,0.7459423772268314,-0.20336697570787826,-0.909668057575008,1,0
1.6626783953624968,1.2980241667902315,0.5414385128843381,0.060814120016060215,-0.11361363107100217,-1.2131985919529937,-1.04441285467738,1.3180962861460725,0.040189877701317045,-0.20336697570787826,-1.2513881108757638,3,0
-0.4507002585557326,-1.3353423615854507,0.5414385128843381,-0.020487161282805665,-0.26886676141296784,1.2654415935203476,-1.4930690809824516,1.3180962861460725,0.19545542759693021,-0.20336697570787826,-1.2232567868152797,1,0
0.5753078307271451,1.5446487584803756,0.5414385128843381,-0.9148012555703303,0.37005958268666,-1.2131985919529937,-0.4835925717960405,-0.4429397407136677,0.12488017764437878,-0.20336697570787826,-0.41544836193221807,3,1
